name,clean_group,address,straight_line_meters,google_maps_uri,website_uri,sources
Sheats Apartments,North Westwood / Strathmore-Gayley,"10919 Strathmore Dr, Los Angeles, CA 90024",520,https://maps.google.com/?cid=5462452353290778935&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"broad,targeted"
Ariel Court,North Westwood / Strathmore-Gayley,"535 Gayley Ave, Los Angeles, CA 90024",557,https://maps.google.com/?cid=3709224840317962856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.decron.com/apartments/ca/los-angeles/ariel-court/?utm_source=GBP&utm_medium=organic,"broad,targeted"
Sycamore Court,Other Westwood,"Sycamore Ct, Los Angeles, CA",569,https://maps.google.com/?cid=11203878484161882324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,targeted
UCLA University apartments,North Westwood / Strathmore-Gayley,"456 Landfair Ave, Los Angeles, CA 90024",633,https://maps.google.com/?cid=10268588463989979185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,targeted
Atrium,North Westwood / Strathmore-Gayley,"10965 Strathmore Dr, Los Angeles, CA 90024",685,https://maps.google.com/?cid=3201316162008640268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.atrium-westwood.com/?utm_knock=g,"broad,targeted"
Village Villa Apartments,North Westwood / Strathmore-Gayley,"445 Landfair Ave, Los Angeles, CA 90024",703,https://maps.google.com/?cid=15398321607653698500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.villagevillaapartments.com/,targeted
430 Kelton,Southwest Westwood,"430 Kelton Ave, Los Angeles, CA 90024",792,https://maps.google.com/?cid=11675085645516099021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.430kelton.com/?utm_knock=plc,"broad,targeted"
Gayley Heights,North Westwood / Strathmore-Gayley,"10995 Le Conte Ave, Los Angeles, CA 90024",794,https://maps.google.com/?cid=14220161698965738490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://portal.housing.ucla.edu/single-undergraduate-university-apartments,"broad,targeted"
Westwood Executive House,Southwest Westwood,"424 Kelton Ave, Los Angeles, CA 90024",796,https://maps.google.com/?cid=9688023242632532656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.apartments.com/westwood-executive-house-los-angeles-ca/yq6sn4s/,broad
Midvale Apartments,Southwest Westwood,"527 Midvale Ave, Los Angeles, CA 90024",802,https://maps.google.com/?cid=11248880287708676118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.midvaleapts.com/?utm_knock=plc,broad
Village Lofts,North Westwood / Strathmore-Gayley,"11024 Strathmore Dr, Los Angeles, CA 90024",802,https://maps.google.com/?cid=15613148609830805054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://villageloftsla.com/,"broad,targeted"
11017 Strathmore,North Westwood / Strathmore-Gayley,"11017 Strathmore Dr, Los Angeles, CA 90024",823,https://maps.google.com/?cid=7267713422872953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.apartments.com/11017-strathmore-dr-los-angeles-ca/xgxrf7m/,targeted
Westfield Residence,Southwest Westwood,"500 Kelton Ave, Los Angeles, CA 90024",826,https://maps.google.com/?cid=11909611014263201715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.westfieldresidence.org/,broad
520 Kelton,Southwest Westwood,"520 Kelton Ave, Los Angeles, CA 90024",831,https://maps.google.com/?cid=6676985867128032202&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.keltonapartments.com/,targeted
Kelton Arms,Southwest Westwood,"433 Kelton Ave, Los Angeles, CA 90024",851,https://maps.google.com/?cid=14047211006904187230&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.keltonarms.com/,targeted
Axiom Westwood,North Westwood / Strathmore-Gayley,"415 Gayley Ave, Los Angeles, CA 90024",867,https://maps.google.com/?cid=13836520148182417620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.axiomwestwood.com/?utm_knock=g,"broad,targeted"
Tiverton Court,Westwood Village Core,"940 Tiverton Ave, Los Angeles, CA 90024",881,https://maps.google.com/?cid=10152034598306640400&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://tivertoncourt.com/,targeted
Levering Terrace,Westwood Village / Weyburn-Levering,"885 Levering Ave, Los Angeles, CA 90024",884,https://maps.google.com/?cid=1849748676643217647&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"broad,targeted"
Magnolia Court,Westwood Village / Weyburn-Levering,"Magnolia Court, 765 Weyburn Terrace, Los Angeles, CA 90024",906,https://maps.google.com/?cid=15059201242129386653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,targeted
Strathmore Regency Apartments,North Westwood / Strathmore-Gayley,"11050 Strathmore Dr, Los Angeles, CA 90024",923,https://maps.google.com/?cid=14457904805680638739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.strathmoreregency.com/,targeted
Tipuana Apartments,Westwood Village / Weyburn-Levering,"900 Weyburn Pl, Los Angeles, CA 90024",924,https://maps.google.com/?cid=12748814103168655268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://portal.housing.ucla.edu/,targeted
